title,category,added,done,title_ko,keyword,way,quest_num,difficulty,period
See the Northern Lights (Aurora Borealis),nature,17000,658,북극광 보기(오로라 보레알리스),aurora,object,145,3,14
Go on an African safari,nature,9400,846,아프리카 사파리에 가기,african safari,gps,146,3,14
Visit Argentinas Iguazu Falls,nature,4100,257,아르헨티나 이과수 폭포 방문,iguazu fall,gps,147,3,14
Go Whale Watching,nature,3300,914,고래를 보기,whale,object,148,2,7
Plant a Tree,nature,2400,567,나무 심기,tree,object,149,2,7
Feed a giraffe,nature,2100,892,기린에게 먹이를 주다.,giraffe,object,150,2,7
Stand on the equator,nature,2100,140,적도에 서다.,equator,gps,151,3,14
 Go to Antarctica,nature,2000,20,남극에 가다,antarctica,gps,152,3,14
Find a four leaf clover,nature,1800,806,네 잎 클로버를 찾아라.,four leaf clover,object,153,3,14
Go kayaking,nature,1400,755,카약 타기,kayak,object,154,2,7
Visit the Galapagos Islands,nature,946,33,갈라파고스 제도 방문,galapagos island,gps,155,3,14
Watch the sunset,nature,873,537,일몰을 보세요.,sunset,object,156,3,14
Capture lightning in a photograph,nature,832,123,번개 사진 찍기,lightning,object,157,3,14
Visit Morocco,nature,779,153,모로코 방문,morocco,gps,158,3,14
Swim with a sea turtle,nature,630,172,바다거북과 수영하기,sea turtle,object,159,3,14
Visit Alaska,nature,617,49,알래스카 방문,alaska,gps,160,3,14
Swim with whale sharks,nature,563,85,고래상어와 함께 수영하세요.,whale shark,object,161,3,14
Visit Scotland,nature,535,97,스코틀랜드 방문,scotland,object,162,3,14
Visit Niagra Falls,nature,524,96,나이아그라 폭포 방문,niagara fall,gps,163,3,14
See a lunar eclipse,nature,497,220,월식 보기,lunar eclipse,object,164,3,14
Visit the Maldives,nature,485,27,몰디브 방문,maldives,gps,165,3,14
See the tulips in Holland,nature,451,86,네덜란드의 튤립을 보세요.,"tulips,holland",object,166,3,14
Hold a Tarantula,nature,337,127,타란툴라 잡기,tarantula,object,167,3,14
Swim in the Blue Lagoon in Iceland,nature,269,25,아이슬란드의 푸른 라군 수영,blue lagoon,gps,168,3,14
Try oysters,nature,217,121,굴을 먹어보기,oyster,object,169,1,2
Build an igloo,nature,204,27,이글루를 건설하기,igloo,object,170,2,5
See a solar eclipse,nature,197,48,일식 보기,solar eclipse,object,171,3,14
Make a snowman,nature,192,77,눈사람 만들기,snowman,object,172,1,2
Watch a sunrise,nature,191,52,일출 보기,sunrise,object,173,1,2
