title,category,added,done,title_ko,keyword,way,quest_num,difficulty,period
Float in the Dead Sea,outdoor,14000,806,사해 가기,dead sea,gps,187,3,14
Go Snowboarding,outdoor,1200,381,스노보드 타러 가기,snowboard,object,188,2,7
See Mount Rushmore,outdoor,866,156,러시모어 산 보기,mount rushmore,gps,189,3,14
Learn to Ski,outdoor,841,234,스키 배우기,ski,object,190,2,7
Ride a dune buggy in the desert,outdoor,583,49,사막에서 둔버기 타기,dune buggy,object,191,3,14
Go jet skiing,outdoor,370,109,제트스키 타러 가다.,jet ski,object,192,2,7
Go to glastonbury festival,outdoor,287,36,글래스톤베리 축제에 가기,glastonbury festival,text,193,3,14
Go on the London Eye,outdoor,255,127,런던아이에 가기,london eye,gps,194,3,14
Go to Fiji,outdoor,189,16,피지에 가기,fiji,gps,195,3,14
Visit Redwood National Park,outdoor,135,12,레드우드 국립공원 방문,redwood antional park,gps,196,3,14
Ice skate,outdoor,129,70,아이스 스케이트하기,ice skate,object,197,1,7
Have a Bonfire,outdoor,120,31,모닥불을 피워라,bonfire,object,198,1,5
